idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
41,120,18000,162.103495,30,5;4;6;4;5;4;5;3;4;5;5;5;3;4;3;7;3;7;3;4;5;3;3;3;3;3;4;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1952.338569
42,120,18000,144.058963,32,3;5;5;4;4;6;5;3;3;6;4;3;4;3;5;3;3;4;3;4;3;3;6;3;3;3;3;3;3;5;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1941.301691
43,120,18000,174.465154,28,4;6;3;5;4;3;4;4;6;5;3;4;4;9;3;6;5;5;6;4;5;4;3;4;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1945.453803
44,120,18000,193.408063,32,4;4;6;4;3;3;4;4;4;4;4;3;7;4;5;3;5;5;3;3;3;4;4;4;3;3;4;2;3;3;4;1,time,0.25;0.2;0.166667;0.142857;0.125,1962.498829
45,120,18000,157.002281,28,4;3;3;4;9;6;8;4;4;5;3;4;4;4;3;3;4;7;4;3;4;4;5;4;4;5;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1994.042571
46,120,18000,139.302375,31,4;5;6;5;4;4;6;4;4;5;6;3;4;3;6;4;5;3;3;3;3;4;4;3;4;4;3;2;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1918.268508
47,120,18000,158.041246,28,5;4;5;5;4;4;5;4;5;4;3;3;4;4;4;6;6;5;5;3;5;4;3;5;5;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,2002.935319
48,120,18000,156.367698,29,6;5;3;5;3;5;3;3;4;4;3;5;4;7;4;5;3;4;4;5;5;4;3;8;3;3;3;4;2,time,0.25;0.2;0.166667;0.142857;0.125,1956.924913
49,120,18000,176.622398,31,3;6;6;7;4;5;4;5;4;4;3;3;4;3;3;3;3;5;4;4;3;5;3;4;3;5;4;3;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1947.631498
50,120,18000,182.213518,32,3;4;3;5;3;5;4;5;3;4;4;3;5;4;5;3;5;4;4;4;6;4;6;4;3;3;2;3;2;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1950.858543
51,120,18000,189.328546,33,4;3;4;5;3;4;5;4;3;3;6;3;3;3;3;5;4;5;3;5;3;5;3;4;3;4;3;2;3;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1956.432318
52,120,18000,140.214125,32,7;4;3;7;5;4;7;3;4;4;4;5;3;4;3;3;3;4;3;4;3;3;3;3;3;4;3;4;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1947.551442
